time_iso8601,stars_cumulative
2025-04-07 00:00:00+00:00,1
2025-04-08 00:00:00+00:00,2
2025-04-14 00:00:00+00:00,35
2025-04-15 00:00:00+00:00,61
2025-04-16 00:00:00+00:00,69
2025-04-17 00:00:00+00:00,73
2025-04-18 00:00:00+00:00,76
2025-04-19 00:00:00+00:00,78
2025-04-21 00:00:00+00:00,81
2025-04-22 00:00:00+00:00,82
2025-04-24 00:00:00+00:00,85
2025-04-25 00:00:00+00:00,86
2025-05-08 00:00:00+00:00,87
2025-05-23 00:00:00+00:00,88
2025-05-25 00:00:00+00:00,90
2025-05-28 00:00:00+00:00,91
2025-06-01 00:00:00+00:00,92
2025-06-03 00:00:00+00:00,93
2025-06-12 00:00:00+00:00,94
2025-07-10 00:00:00+00:00,95
2025-07-18 00:00:00+00:00,96
2025-07-28 00:00:00+00:00,97
2025-07-31 00:00:00+00:00,98
2025-08-12 00:00:00+00:00,99
2025-08-16 00:00:00+00:00,100
2025-08-18 00:00:00+00:00,101
2025-08-19 00:00:00+00:00,102
2025-08-25 00:00:00+00:00,103
2025-08-26 00:00:00+00:00,104
2025-08-27 00:00:00+00:00,105
2025-08-28 00:00:00+00:00,106
2025-09-05 00:00:00+00:00,107
2025-09-10 00:00:00+00:00,108
2025-09-13 00:00:00+00:00,109
2025-09-18 00:00:00+00:00,110
2025-09-19 00:00:00+00:00,111
2025-09-25 00:00:00+00:00,112
2025-09-26 00:00:00+00:00,113
2025-10-04 00:00:00+00:00,114
2025-10-08 00:00:00+00:00,115
2025-10-09 00:00:00+00:00,116
2025-10-10 00:00:00+00:00,117
2025-10-18 00:00:00+00:00,118
2025-10-24 00:00:00+00:00,119
2025-11-03 00:00:00+00:00,120
2025-11-06 00:00:00+00:00,121
2025-11-07 00:00:00+00:00,122
2025-11-11 00:00:00+00:00,123
2025-11-17 00:00:00+00:00,124
2025-11-18 00:00:00+00:00,125
2025-12-03 00:00:00+00:00,126
2025-12-28 00:00:00+00:00,127
2026-01-02 00:00:00+00:00,128
2026-01-06 00:00:00+00:00,129
2026-01-11 00:00:00+00:00,131
2026-01-26 00:00:00+00:00,132
2026-02-17 00:00:00+00:00,133
2026-02-23 00:00:00+00:00,134
2026-03-03 00:00:00+00:00,135
2026-03-09 00:00:00+00:00,136
2026-03-20 00:00:00+00:00,137
2026-03-22 00:00:00+00:00,138
2026-03-27 00:00:00+00:00,139
