time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,7,5,24,1
2025-09-28 00:00:00+00:00,3,3,2,1
2025-09-29 00:00:00+00:00,5,5,7,4
2025-09-30 00:00:00+00:00,1,1,12,6
2025-10-01 00:00:00+00:00,4,4,9,4
2025-10-02 00:00:00+00:00,7,4,10,4
2025-10-03 00:00:00+00:00,2,2,6,1
2025-10-04 00:00:00+00:00,1,1,2,2
2025-10-05 00:00:00+00:00,5,5,0,0
2025-10-06 00:00:00+00:00,1,1,4,4
2025-10-07 00:00:00+00:00,3,3,5,4
2025-10-08 00:00:00+00:00,2,2,17,5
2025-10-09 00:00:00+00:00,12,11,20,2
2025-10-10 00:00:00+00:00,30,9,116,6
2025-10-11 00:00:00+00:00,21,14,13,1
2025-10-12 00:00:00+00:00,5,4,6,1
2025-10-13 00:00:00+00:00,3,3,8,5
2025-10-14 00:00:00+00:00,1,1,25,9
2025-10-15 00:00:00+00:00,14,8,6,4
2025-10-16 00:00:00+00:00,0,0,4,2
2025-10-17 00:00:00+00:00,9,4,23,7
2025-10-18 00:00:00+00:00,1,1,51,4
