time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,1,1,5,4
2026-05-29 00:00:00+00:00,23,9,5,3
2026-05-30 00:00:00+00:00,0,0,0,0
2026-05-31 00:00:00+00:00,21,9,4,3
2026-06-01 00:00:00+00:00,25,11,5,4
2026-06-02 00:00:00+00:00,10,5,0,0
2026-06-03 00:00:00+00:00,30,11,9,5
2026-06-04 00:00:00+00:00,7,3,5,2
2026-06-05 00:00:00+00:00,17,7,4,4
2026-06-06 00:00:00+00:00,3,1,14,2
2026-06-07 00:00:00+00:00,22,8,5,2
2026-06-08 00:00:00+00:00,1,1,14,6
2026-06-09 00:00:00+00:00,20,8,0,0
2026-06-10 00:00:00+00:00,10,5,4,4
