time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,4,3,33.0,8.0
2025-11-12 00:00:00+00:00,10,4,14.0,4.0
2025-11-13 00:00:00+00:00,6,6,,
2025-11-14 00:00:00+00:00,2,2,19.0,4.0
2025-11-15 00:00:00+00:00,4,4,8.0,3.0
2025-11-16 00:00:00+00:00,1,1,1.0,1.0
2025-11-17 00:00:00+00:00,4,4,2.0,2.0
2025-11-18 00:00:00+00:00,1,1,15.0,7.0
2025-11-19 00:00:00+00:00,7,7,25.0,7.0
2025-11-20 00:00:00+00:00,2,2,13.0,3.0
2025-11-21 00:00:00+00:00,3,3,6.0,4.0
2025-11-22 00:00:00+00:00,1,1,8.0,3.0
2025-11-23 00:00:00+00:00,6,6,10.0,3.0
2025-11-24 00:00:00+00:00,1,1,13.0,2.0
