url_path,views_total,views_unique
/twentyTwo/vsc-ext-coding-time-tracker,63,26
/twentyTwo/vsc-ext-coding-time-tracker/wiki/Health-Notifications,18,12
/twentyTwo/vsc-ext-coding-time-tracker/wiki,10,5
/twentyTwo/vsc-ext-coding-time-tracker/issues,9,4
/twentyTwo/vsc-ext-coding-time-tracker/actions/workflows/publish.yml,7,1
/twentyTwo/vsc-ext-coding-time-tracker/issues/14,5,4
/twentyTwo/vsc-ext-coding-time-tracker/pulls,5,4
/twentyTwo/vsc-ext-coding-time-tracker/tree/main/src,5,4
/twentyTwo/vsc-ext-coding-time-tracker/releases/tag/v0.5.0,5,2
/twentyTwo/vsc-ext-coding-time-tracker/forks,4,4
