time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,1.0,1.0,7,3
2025-10-27 00:00:00+00:00,12.0,6.0,15,6
2025-10-28 00:00:00+00:00,9.0,7.0,8,3
2025-10-29 00:00:00+00:00,4.0,4.0,18,4
2025-10-30 00:00:00+00:00,2.0,2.0,13,3
2025-10-31 00:00:00+00:00,10.0,5.0,4,3
2025-11-01 00:00:00+00:00,2.0,2.0,26,5
2025-11-02 00:00:00+00:00,14.0,8.0,22,4
2025-11-03 00:00:00+00:00,25.0,11.0,15,4
2025-11-04 00:00:00+00:00,13.0,7.0,13,2
2025-11-05 00:00:00+00:00,5.0,5.0,23,5
2025-11-06 00:00:00+00:00,3.0,3.0,26,6
2025-11-07 00:00:00+00:00,11.0,7.0,8,3
2025-11-08 00:00:00+00:00,2.0,2.0,6,3
2025-11-09 00:00:00+00:00,,,1,1
