time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-19 00:00:00+00:00,11,6,13,4
2026-05-20 00:00:00+00:00,3,3,5,5
2026-05-21 00:00:00+00:00,35,7,9,4
2026-05-22 00:00:00+00:00,29,3,1,1
2026-05-23 00:00:00+00:00,12,6,8,3
2026-05-24 00:00:00+00:00,26,3,3,2
2026-05-25 00:00:00+00:00,19,10,4,4
2026-05-26 00:00:00+00:00,24,3,5,2
2026-05-27 00:00:00+00:00,14,9,8,8
2026-05-28 00:00:00+00:00,1,1,5,4
2026-05-29 00:00:00+00:00,23,9,5,3
2026-05-30 00:00:00+00:00,0,0,0,0
2026-05-31 00:00:00+00:00,21,9,4,3
2026-06-01 00:00:00+00:00,25,11,5,4
