time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,7,2,,
2025-10-25 00:00:00+00:00,2,2,15.0,2.0
2025-10-26 00:00:00+00:00,1,1,7.0,3.0
2025-10-27 00:00:00+00:00,12,6,15.0,6.0
2025-10-28 00:00:00+00:00,9,7,8.0,3.0
2025-10-29 00:00:00+00:00,4,4,18.0,4.0
2025-10-30 00:00:00+00:00,2,2,13.0,3.0
2025-10-31 00:00:00+00:00,10,5,4.0,3.0
2025-11-01 00:00:00+00:00,2,2,26.0,5.0
2025-11-02 00:00:00+00:00,14,8,22.0,4.0
2025-11-03 00:00:00+00:00,25,11,15.0,4.0
2025-11-04 00:00:00+00:00,13,7,13.0,2.0
2025-11-05 00:00:00+00:00,5,5,23.0,5.0
2025-11-06 00:00:00+00:00,3,3,26.0,6.0
2025-11-07 00:00:00+00:00,1,1,,
