time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,8,3,6,3
2025-10-23 00:00:00+00:00,12,7,5,3
2025-10-24 00:00:00+00:00,7,2,1,1
2025-10-25 00:00:00+00:00,2,2,15,2
2025-10-26 00:00:00+00:00,1,1,7,3
2025-10-27 00:00:00+00:00,12,6,15,6
2025-10-28 00:00:00+00:00,9,7,8,3
2025-10-29 00:00:00+00:00,4,4,18,4
2025-10-30 00:00:00+00:00,2,2,13,3
2025-10-31 00:00:00+00:00,10,5,4,3
2025-11-01 00:00:00+00:00,2,2,26,5
2025-11-02 00:00:00+00:00,14,8,22,4
2025-11-03 00:00:00+00:00,25,11,15,4
2025-11-04 00:00:00+00:00,13,7,13,2
