time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,,,19.0,5.0
2025-08-23 00:00:00+00:00,9.0,9.0,,
2025-08-24 00:00:00+00:00,3.0,3.0,27.0,3.0
2025-08-25 00:00:00+00:00,6.0,6.0,20.0,7.0
2025-08-26 00:00:00+00:00,2.0,2.0,12.0,5.0
2025-08-27 00:00:00+00:00,2.0,2.0,27.0,6.0
2025-08-28 00:00:00+00:00,,,16.0,5.0
2025-08-29 00:00:00+00:00,7.0,7.0,8.0,3.0
2025-08-30 00:00:00+00:00,1.0,1.0,17.0,3.0
2025-08-31 00:00:00+00:00,8.0,6.0,27.0,4.0
2025-09-01 00:00:00+00:00,6.0,6.0,28.0,6.0
2025-09-02 00:00:00+00:00,2.0,2.0,4.0,2.0
2025-09-03 00:00:00+00:00,2.0,2.0,18.0,3.0
2025-09-04 00:00:00+00:00,,,32.0,4.0
2025-09-05 00:00:00+00:00,,,4.0,2.0
