time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,3,1,14,2
2026-06-07 00:00:00+00:00,22,8,5,2
2026-06-08 00:00:00+00:00,1,1,14,6
2026-06-09 00:00:00+00:00,20,8,0,0
2026-06-10 00:00:00+00:00,10,5,4,4
2026-06-11 00:00:00+00:00,60,34,4,3
2026-06-12 00:00:00+00:00,4,2,3,3
2026-06-13 00:00:00+00:00,28,9,7,4
2026-06-14 00:00:00+00:00,13,7,6,5
2026-06-15 00:00:00+00:00,44,12,2,2
2026-06-16 00:00:00+00:00,10,5,6,6
2026-06-17 00:00:00+00:00,13,6,6,5
2026-06-18 00:00:00+00:00,6,1,5,3
2026-06-19 00:00:00+00:00,24,8,3,3
