time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,4,4,1,1
2026-09-11 00:00:00+00:00,14,11,5,2
2026-09-12 00:00:00+00:00,3,3,9,3
2026-09-13 00:00:00+00:00,42,19,8,4
2026-09-14 00:00:00+00:00,11,8,8,3
2026-09-15 00:00:00+00:00,9,5,5,5
2026-09-16 00:00:00+00:00,7,6,10,5
2026-09-17 00:00:00+00:00,14,7,3,3
2026-09-18 00:00:00+00:00,4,4,3,3
2026-09-19 00:00:00+00:00,22,12,5,5
2026-09-20 00:00:00+00:00,6,4,0,0
2026-09-21 00:00:00+00:00,3,3,5,5
2026-09-22 00:00:00+00:00,1,1,5,5
2026-09-23 00:00:00+00:00,20,11,6,3
