time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-27 00:00:00+00:00,28,12,27,9
2026-03-28 00:00:00+00:00,5,5,4,4
2026-03-29 00:00:00+00:00,18,8,4,4
2026-03-30 00:00:00+00:00,5,5,6,6
2026-03-31 00:00:00+00:00,17,8,6,5
2026-04-01 00:00:00+00:00,20,7,5,3
2026-04-02 00:00:00+00:00,3,3,12,6
2026-04-03 00:00:00+00:00,11,5,8,5
2026-04-04 00:00:00+00:00,8,6,10,5
2026-04-05 00:00:00+00:00,24,11,18,7
2026-04-06 00:00:00+00:00,5,4,4,2
2026-04-07 00:00:00+00:00,14,7,1,1
2026-04-08 00:00:00+00:00,0,0,16,6
2026-04-09 00:00:00+00:00,18,9,10,6
