url_path,views_total,views_unique
/twentyTwo/vsc-ext-coding-time-tracker,38,28
/twentyTwo/vsc-ext-coding-time-tracker/discussions,6,3
/twentyTwo/vsc-ext-coding-time-tracker/wiki,5,5
/twentyTwo/vsc-ext-coding-time-tracker/issues,5,4
/twentyTwo/vsc-ext-coding-time-tracker/issues/14,5,4
/twentyTwo/vsc-ext-coding-time-tracker/pulls,5,2
/twentyTwo/vsc-ext-coding-time-tracker/releases,5,1
/twentyTwo/vsc-ext-coding-time-tracker/wiki/Time-Tracking,4,3
/twentyTwo/vsc-ext-coding-time-tracker/tree/site,4,1
/twentyTwo/vsc-ext-coding-time-tracker/tree/v0.7.6,4,1
