time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,26,12,7,6
2026-04-25 00:00:00+00:00,50,18,4,4
2026-04-26 00:00:00+00:00,1,1,37,8
2026-04-27 00:00:00+00:00,37,15,22,6
2026-04-28 00:00:00+00:00,1,1,3,2
2026-04-29 00:00:00+00:00,16,6,2,2
2026-04-30 00:00:00+00:00,9,3,3,3
2026-05-01 00:00:00+00:00,14,5,3,3
2026-05-02 00:00:00+00:00,4,4,4,4
2026-05-03 00:00:00+00:00,34,11,5,4
2026-05-04 00:00:00+00:00,3,3,2,1
2026-05-05 00:00:00+00:00,47,13,6,6
2026-05-06 00:00:00+00:00,1,1,10,4
2026-05-07 00:00:00+00:00,31,9,10,6
