time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,6.0,5.0,52,3
2025-06-02 00:00:00+00:00,6.0,6.0,57,4
2025-06-03 00:00:00+00:00,3.0,3.0,26,7
2025-06-04 00:00:00+00:00,,,4,1
2025-06-05 00:00:00+00:00,3.0,3.0,15,4
2025-06-06 00:00:00+00:00,49.0,23.0,129,2
2025-06-07 00:00:00+00:00,8.0,4.0,25,3
2025-06-08 00:00:00+00:00,12.0,9.0,16,1
2025-06-09 00:00:00+00:00,3.0,3.0,7,4
2025-06-11 00:00:00+00:00,7.0,3.0,3,1
2025-06-12 00:00:00+00:00,8.0,5.0,9,4
2025-06-13 00:00:00+00:00,6.0,6.0,8,3
2025-06-14 00:00:00+00:00,2.0,2.0,1,1
