time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,1,1,1,1
2026-08-07 00:00:00+00:00,2,2,0,0
2026-08-08 00:00:00+00:00,19,9,4,4
2026-08-09 00:00:00+00:00,4,4,1,1
2026-08-10 00:00:00+00:00,2,2,12,2
2026-08-11 00:00:00+00:00,34,33,10,6
2026-08-12 00:00:00+00:00,3,3,3,2
2026-08-13 00:00:00+00:00,21,8,5,2
2026-08-14 00:00:00+00:00,17,16,3,2
2026-08-15 00:00:00+00:00,17,6,2,2
2026-08-16 00:00:00+00:00,18,1,0,0
2026-08-17 00:00:00+00:00,5,5,1,1
2026-08-18 00:00:00+00:00,10,5,3,2
2026-08-19 00:00:00+00:00,4,4,2,2
