time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,2.0,2.0,12,5
2025-08-27 00:00:00+00:00,2.0,2.0,27,6
2025-08-28 00:00:00+00:00,,,16,5
2025-08-29 00:00:00+00:00,7.0,7.0,8,3
2025-08-30 00:00:00+00:00,1.0,1.0,17,3
2025-08-31 00:00:00+00:00,8.0,6.0,27,4
2025-09-01 00:00:00+00:00,6.0,6.0,28,6
2025-09-02 00:00:00+00:00,2.0,2.0,4,2
2025-09-03 00:00:00+00:00,2.0,2.0,18,3
2025-09-04 00:00:00+00:00,,,32,4
2025-09-05 00:00:00+00:00,7.0,7.0,11,6
2025-09-06 00:00:00+00:00,,,2,2
2025-09-07 00:00:00+00:00,6.0,6.0,5,2
2025-09-08 00:00:00+00:00,1.0,1.0,5,3
