time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,6,6,5,3
2026-09-04 00:00:00+00:00,7,6,1,1
2026-09-05 00:00:00+00:00,5,3,1,1
2026-09-06 00:00:00+00:00,19,10,3,3
2026-09-07 00:00:00+00:00,5,5,1,1
2026-09-08 00:00:00+00:00,11,5,6,6
2026-09-09 00:00:00+00:00,17,7,5,3
2026-09-10 00:00:00+00:00,4,4,1,1
2026-09-11 00:00:00+00:00,14,11,5,2
2026-09-12 00:00:00+00:00,3,3,9,3
2026-09-13 00:00:00+00:00,42,19,8,4
2026-09-14 00:00:00+00:00,11,8,8,3
2026-09-15 00:00:00+00:00,9,5,5,5
2026-09-16 00:00:00+00:00,7,6,10,5
